DGAK  06.100000 000.117000 56
DGAS  05.200000-001.067000 144
DGAT  05.617000 000.000000 46
DGKA  05.933000-000.983000 456
DGKK  06.083000-000.250000 545
DGLB  09.033000-002.483000 981
DGLE  09.567000-000.867000 548
DGLN  10.949000-001.083000 673
DGLW  10.083000-000.333000 1050
DGLY  09.417000-000.033000 728
DGSB  06.200000-002.333000 561
DGSI  06.717000-001.583000 935
DGSN  07.363000-002.329000 1007
DGSW  07.750000-002.100000 1112
DGTK  04.892000-001.767000 20
DGTX  04.867000-002.233000 125
DIAD  05.300000-003.300000 108
DIAP  05.254000-003.929000 20
DIBK  07.753000-005.068000 1214
DIBU  08.011000-002.765000 1198
DIDK  06.600000-004.567000 341
DIDL  06.800000-006.467000 817
DIGA  06.133000-005.950000 673
DIKO  09.388000-005.554000 1204
DIMN  07.267000-007.583000 1079
DIOD  09.538000-007.564000 1358
DISP  04.750000-006.667000 23
DISS  04.933000-006.133000 200
DITB  04.433000-007.367000 36
DIYO  06.906000-005.364000 692
DNBI  09.100000 006.017000 446
DNCA  04.976000 008.348000 207
DNGU  12.183000 006.700000 1509
DNIB  07.361000 003.978000 719
DNIL  08.440000 004.495000 1115
DNJO  09.640000 008.870000 4203
DNKA  10.695000 007.319000 2057
DNKN  12.049000 008.525000 1552
DNMA  11.855000 013.082000 1093
DNMK  07.683000 008.617000 367
DNMM  06.575000 003.319000 131
DNMN  09.630000 006.463000 827
DNOS  07.767000 004.483000 991
DNPO  05.014000 006.950000 79
DNSO  12.916000 005.208000 997
DNYO  09.260000 012.431000 594
DNZA  11.133000 007.683000 2136
DRRB  13.800000 005.250000 892
DRRG  11.883000 003.433000 656
DRRI  18.683000 012.917000 1165
DRRL  14.200000 001.467000 686
DRRM  13.500000 007.133000 1230
DRRN  13.482000 002.170000 725
DRRT  14.867000 005.267000 1257
DRZA  16.962000 007.990000 1644
DRZF  13.375000 012.642000 988
DRZG  13.883000 010.183000 1368
DRZM  13.200000 012.033000 1017
DRZR  13.784000 008.990000 1503
DTKA  36.980000 008.877000 226
DTMB  35.758000 010.755000 7
DTTA  36.851000 010.227000 20
DTTB  37.250000 009.800000 16
DTTD  32.317000 010.400000 984
DTTF  34.416000 008.814000 1050
DTTG  33.883000 010.100000 13
DTTJ  33.876000 010.777000 16
DTTK  35.667000 010.100000 197
DTTL  36.850000 011.083000 95
DTTM  35.667000 010.750000 7
DTTN  36.483000 008.800000 469
DTTR  31.717000 009.267000 820
DTTX  34.721000 010.689000 82
DTTZ  33.940000 008.111000 282
DXAK  07.583000 001.117000 682
DXMG  10.367000 000.467000 463
DXNG  09.778000 001.096000 1503
DXSK  09.000000 001.150000 1204
DXTA  06.583000 001.500000 144
DXXX  06.166000 001.254000 69
EBAW  51.189000 004.460000 36
EBBE  50.758000 004.767000 367
EBBL  51.168000 005.470000 197
EBBR  50.901000 004.484000 180
EBBT  51.333000 004.500000 72
